Code;Bezeichnung;Leistung_Einheit;Kosten_CHF_h;Treibstoff_CHF_h;Flaechenleistung_ha_h
15017;Pflanzmaschine Nüsslisalat, Benzin 3.5 kW (5 PS), selbstfahrend, 1.50 m, 2500 Pfl./h;1.50 a/h;10.5;0.0;0.015
15020;Pflanzmaschine halbautomatisch, mit Trennsystem, 4-reihig;20 a/h;80.0;0.0;0.2
15021;Folienlegegerät, leicht;20 a/h;30.0;0.0;0.2
15022;Folienlegegerät, 1.80 m, schwer (CM);20 a/h;56.0;0.0;0.2
15030;Pflege und Pflanzenschutz;;0.0;0.0;1.0
15031;Scharhack- und -häufelgerät mit Düngeaggregat, 4-reihig, 1.80 m;40 a/h;34.0;0.0;0.4
15032;Fingerhackgerät, 1.80 m, 4-reihig;40 a/h;74.0;0.0;0.4
15041;#Fingerhackgerät, 3.0 m, 5-reihig;65 a/h;98.0;0.0;0.65
15042;#Sternhackgerät, 3.0 m, 5-reihig;65 a/h;74.0;0.0;0.65
15043;#Dammhackgerät, 3.0 m, 5-reihig;65 a/h;80.0;0.0;0.65
15044;#Reihenhackfräse, 3.0 m, 5-reihig;30 a/h;73.0;0.0;0.3
5081;Hackstriegel, 6 m;400 a/h;93.0;0.0;4.0
15045;#Präzisions-Hackstriegel, 6 m;200 a/h;70.0;0.0;2.0
15033;Pflanzenschutzspritze mit Schlauchhaspel, 300 l Fass auf Fahrgestell, Benzin, 4 kW;10 a/h;16.5;0.0;0.1
15034;Bandspritze 200 l für Beetbehandlung, 1.80 m, in Kombination;15 a/h;14.0;0.0;0.15
15038; Zinkenstriegel, 1.7 m;10 a/h;7.5;0.0;0.1
15039; Zinkenstriegel, 4.7 m;10 a/h;6.5;0.0;0.1
15036;Hackroboter, Front- oder Heckanbau;15 a/h;91.0;0.0;0.15
15037;Spargelkrautfräse;10 a/h;74.0;0.0;0.1
5123;Bürstenhackgerät, 5-reihig;80 a/h;115.0;0.0;0.8
5095;Kamerasteuerung für Hackgeräte;100 a/h;60.0;0.0;1.0
15040;Ernte und Nachernte;;0.0;0.0;1.0
15041;Karottenvollernter, 1-reihig, 3-Punkt;12 a/h;39.0;0.0;0.12
15048;Karottenvollernter, 1-reihig, gezogen;15 a/h;200.0;0.0;0.15
15049;Karottenvollernter, 2-reihig, Überlademaschine, gezogen;24 a/h;255.0;0.0;0.24
15050;Vakuumkrautschläger, 1.80 m;70 a/h;170.0;0.0;0.7
15042;Siebkettenroder (Zwiebeln), 1.80 m;40 a/h;110.0;0.0;0.4
15043;Kartoffelvollernter mit Schwadaufnahme für Zwiebeln, 1.80 m;25 a/h;32.0;0.0;0.25
15051;Unterfahrmesser für Lauchernte, 1.80 m;;0.0;0.0;1.0
15052;Klemmbandroder für Lauchernte, 3-Punkt;;0.0;0.0;1.0
15044;Erntewagen mit Dach (6.5 x 2.5 m), 10 Paletten;;0.0;0.0;1.0
15053;Erntewagen mit Dach (9 x 2.5 m), 16 Paletten ;;0.0;0.0;1.0
15045;Ernteband zu Erntewagen, 8 m Breite;;0.0;0.0;1.0
15054;Ernteband zu Erntewagen, 10 m Breite;;0.0;0.0;1.0
15046;Vollernter Babysalat, gezogen, 1.80 m;10 a/h;69.0;0.0;0.1
15047;Waschtunnel/-strasse für Frischgemüse; ;13.5;0.0;1.0
15055;Spargelspinne;;0.0;0.0;1.0
15056;Gurkenflieger;;0.0;0.0;1.0
15057;Niederhub-Mitgänger, elektrisch;3 kW;5.0;0.35;1.0
