Hersteller;Modell_Nr;Typ;Handelsname;Nenndrehzahl_rpm;Motor_Nennleistung_kW;Max_Druck_mbar;Vol_2mbar;Pwr_2mbar;Vol_3mbar;Pwr_3mbar;Vol_4mbar;Pwr_4mbar;Vol_5mbar;Pwr_5mbar;Vol_6mbar;Pwr_6mbar;Vol_7mbar;Pwr_7mbar;Vol_8mbar;Pwr_8mbar
Sumag;918T;RD;208;960;7.5;9.4;11.9;7.3;11.2;7.7;10.5;8.2;9.6;8.5;8.8;8.4;7.9;8.4;6.7;8.3
Sumag;920U;RD;309;790;7.5;8.3;13.6;7.3;12.8;7.9;11.6;8.4;10.7;8.4;9.3;8.4;8;8.3;5.9;7.6
Sumag;918;RD;208;1025;9.2;10.8;12.9;8.7;12.3;9.2;11.6;9.7;10.8;10.1;10.1;10.1;9.3;10.3;8.4;10.3
Sumag;918H;RD;208;1050;10;11.3;13.3;9.3;12.6;9.8;12;10.3;11.3;10.8;10.5;11.1;9.8;11;8.9;11.1
Sumag;918J;RD;208;11;11.9;13.7;10;13.1;10.6;12.5;11.1;11.8;11.6;11.1;12;10.4;11.9;9.6;12;
Sumag;819;RD;410;660;7.5;6.9;15.6;7.3;14.1;8;12.6;8.1;10.9;8.4;8.8;8.3;;;;
Sumag;920T;RD;309;840;9.2;9.4;14.7;8.5;13.9;9.3;13;9.8;12;10.1;11.1;10.2;9.7;10.1;8.4;10
Sumag;920;RD;309;860;10;9.8;15.2;9.1;14.4;9.8;13.5;10.4;12.4;10.9;11.6;10.9;10.3;10.9;9;10.8
Sumag;920H;RD;309;890;11;10.5;15.8;10;15;10.7;14.2;11.4;13.1;11.9;12.5;11.9;11.3;12.1;10.1;12.1
Sumag;921U;RD;410;710;9.2;8.1;17.1;9.2;16;9.9;14.7;10.5;13.5;10.7;11.9;10.7;10.2;10.6;6.6;9.1
Sumag;921T;RD;410;730;10;8.6;17.6;9.9;16.6;10.7;15.4;11.3;14;11.7;12.8;11.7;11.2;11.6;8.9;11.1
Sumag;920J;RD;309;980;15;12.8;17.7;13.1;17;13.8;16.3;14.6;15.5;15.3;14.5;15.9;13.9;15.9;13;16.2
Sumag;921;RD;410;760;11;9.3;18.5;11.1;17.5;11.8;16.4;12.5;15.1;13.1;14.2;13;12.5;13.1;10.9;13
Sumag;921H;RD;410;830;15;11.1;20.7;14.3;19.7;15;18.8;15.8;17.7;16.4;16.4;17.1;15.7;17;14.1;17.2
Sumag;922;RD;511;680;15;9.6;23.9;14.5;22.5;15.3;21;16;19.4;16.7;18.1;16.8;16;16.9;14.2;17
Sumag;922H;RD;511;730;18.5;11.1;26.1;17.7;24.7;18.5;23.4;19.4;22.1;20.3;20.4;20.9;19.3;20.8;17.3;20.9
Wild;1074;RE;WL 30;960;3;10.3;5.7;3.6;5.4;3.9;5;4;4.6;4.1;4.2;4.1;3.7;4.1;3.1;4
Wild;990T;RE;WL 40;776;3;8;6.4;3.4;5.8;3.7;5.1;3.7;4.5;3.8;3.8;3.8;2.9;3.4;;
Wild;990K;RE;WL 40;828;4;9.1;6.9;4.1;6.4;4.4;5.8;4.5;5.2;4.6;4.6;4.7;4;4.6;3;4.1
Wild;971T;RE;WL 50;680;4;8.3;7.6;4.2;7;4.5;6.4;4.6;5.6;4.6;4.7;4.5;3.4;4.1;1.7;3
Wild;990H;RE;WL 40;920;5.5;11.2;7.9;5.5;7.5;5.8;7;6;6.4;6.2;5.9;6.3;5.4;6.4;4.8;6.4
Wild;971K;RE;WL 50;750;5.5;10.1;8.6;5.5;8;5.8;7.5;6.1;6.9;6.2;6.2;6.2;5.4;6.1;4.4;5.8
Wild;1071T;RE;WL 40;1055;9.2;14.1;8.5;8;8.3;8.3;8;8.6;7.7;8.8;7.4;9;7.1;9.2;6.8;9.4
Wild;1073T;RD;WL 60;886;5.5;8.4;10;5.8;9.2;6;8.4;6.3;7.6;6.2;6.5;6.1;5.3;5.8;3.7;4.9
